province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,United Kingdom,2022-08-31,,,,0,312,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-13,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-10-13,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-06-15,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-21,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-23,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-01,,,,0,325,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-17,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-08,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-16,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-24,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-12-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-28,,,,0,320,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-16,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-16,,,,0,327,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-25,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-14,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-22,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-17,,,,0,318,,,,,"Unknown, United Kingdom"
